# 3346 -277770326 46188 26
0.994797 553
1 1322
1 14051
0.994797 5367356
1 6737
0.989578 478714364
1 5759
1 4234
0.994797 15573
0.994797 24673
0.994797 2641
0.994797 1066
0.994797 864834
1 6087
1 3781
1 7616
1 988
1 648
1 50307
0.994797 1185
1 3952
1 1953
1 5326462
1 1406
1 861265983
1 1912
1 4774785
1 31031654
1 1636
1 2461003
1 1794
1 12124
0.994797 2422
1 4528
1 18069613
1 7473
1 7011
1 6239
1 205303
1 11777
0.994797 4266
1 4325
0.994797 25007
1 10386
0.994797 539
1 2135
1 1280
1 126984208
1 3436
1 808
0.994797 52494
1 1829
1 7188
0.994797 110603
1 792
1 3162
1 87992425
1 5180936
1 5260
1 12566
1 300078179
1 1971
1 1168
0.994797 3351
1 15002
1 3256
1 766510553
1 1848
1 494577897
1 50796
1 1106
1 39349
1 48762
0.994797 3208094
1 983
0.994797 807
0.994797 580
1 52063
0.994797 1054245728
0.994797 12609
1 1663659
1 17304
1 44303631
1 876527759
0.994797 281640
1 2077252
1 1315
0.994797 128853
0.994797 51449
1 5718581
1 1690
0.994797 990
1 730
1 40247
1 1168
0.994797 889092
1 1513370954
1 4108
1 14096921
1 34110342
