# 5343 -25691747 22751 47
1 4454
0.985809 6152
1 306895
1 1524493770
0.985809 4821
1 6555
1 147072
1 782
1 11570
0.985611 1605
1 4395
1 732574158
1 217940
0.985611 14551
1 8790
1 134894
1 21413
1 30040
1 6319
1 3124
0.985611 3760
0.985397 7961
0.985397 13329
1 73943
1 810547193
1 33099
1 9738
1 2984
0.985809 696570434
1 3290
1 52946
1 4642
1 502916884
1 5886
1 639
0.985611 12769
0.985397 7225
1 3290
1 170528
0.985184 13801
0.985397 4633
1 1860
1 6423
1 1870135952
1 17669
0.971634 31091
1 6494
1 13792
1 4830
1 1270442872
1 163695087
1 59531
1 4586
1 4269
1 2336
1 5886
1 1310676835
0.985809 2427
1 20694
0.985611 2082
1 1557502937
1 3295
1 1441
0.985611 19088
1 10303
1 742425073
1 1303
1 1908
1 3136
1 1986
1 256621243
0.985611 9052
1 19082
1 1658
1 3755
1 1844
1 1795449057
1 36639
0.985397 5304
1 1057677205
0.985184 2573
0.986008 9126
1 2025
1 33288303
1 4827
0.985611 2282
1 8964
1 3457
0.985397 26881
0.985611 3987
1 3823
1 1622
1 128165379
1 4227
1 42246
0.985611 1739
1 4312
1 3891
1 9331
1 456036605
1 18239
1 1731
1 813792184
1 6921
1 5983
0.985397 15702
1 14436
1 1708
1 5878
1 2433
1 9266
1 902525534
1 943
1 412117310
1 60521004
1 4232
0.985611 22326
1 453464023
1 5681
1 5598
1 1515150934
1 1091729
0.985397 2872
0.985611 1566
0.985184 1247
0.985611 29996
1 1414
0.971222 2057
0.985397 2006
1 7773
0.985611 2896
0.985184 2212
1 13011
0.985397 4306
1 9540
1 18612
1 43010
1 902353645
1 1826
0.985397 4049
0.985809 2549
1 1888
1 528435
1 10298
0.985397 5062
1 4397
1 23085
1 29756601
1 141537043
1 4031
1 810163385
0.985611 2688
1 9700
0.985611 188162380
1 11838
0.985809 64968
0.985184 820
0.985397 11949
1 7769
1 3077
1 5088
1 3566
1 446135264
1 26149
1 4262
1 3617
1 1164434
1 2304
1 8101
0.985397 1506
1 110527323
0.985611 6154
1 52367
1 6378
1 119034
1 2531
1 9143
1 46120
1 6618
1 217891
1 62106106
0.985184 2007
1 4424
1 11102
1 42019
1 2399
1 14761
1 39972
1 8315
1 51456538
1 2750517
1 10481
1 2369
0.985611 1738
1 12796
1 8020
1 10516
1 15115
1 2382
1 2553
