# 179349 -60262915 2807932 53
1 37029
1 642097
0.988098 15741
1 10933
1 20788707
1 1200611
1 1873691837
1 6449160
0.988373 5719386
1 219442635
1 765448
1 24667
1 939629864
1 138430
0.988235 22535181
0.988235 73346
0.988235 64695
1 128698
1 57953
1 39026467
1 918877
1 98281
1 399629
1 166048
1 129185
1 684971
0.988235 70044
1 1058283374
1 4848222
1 922876
1 52459
1 243081
0.988098 277958
1 52969868
1 53965
1 149794
0.988235 239221
1 1379503
0.988098 44251
1 257054
1 515223
1 791265
0.988373 75443
0.988098 47558
0.988098 183125
1 3484267
1 38334
1 6528056
0.988373 2794223
1 296153
1 38581
1 984413
1 994890
0.988235 457338078
1 2155329
1 193805048
0.976746 9581
1 360458
1 459585
1 297021
1 912059
1 126626465
1 436814
1 1629818
0.988098 292609
0.988235 2130639
1 14847
1 644866947
0.988373 469685
1 531532
1 2475867
1 89040
1 26560
0.988098 2882245
1 813897
1 104530
0.988373 1080246114
1 604083
1 1974579
1 528666
1 444567709
0.98851 18994613
1 172227
1 67167
1 2068090
1 48578
1 99662064
0.988373 621630
1 26986591
1 345369365
0.988235 32178
0.988098 22075
1 234509
0.988235 110619
0.988373 164387
1 12702171
1 392992
0.987946 59243
1 634945
1 57662
1 317710573
1 21387502
1 147785
0.988373 753702320
1 692281
1 121185
1 1428418
1 2300922
1 34017387
1 20867
0.988373 28726
0.988235 85446
1 1231873787
0.988098 13291
1 58192
1 413633
1 1347718376
0.98851 751065872
1 7005930
0.988235 224509
1 190058107
1 5362949
1 459700
1 62522678
0.988098 36673
1 33473
1 198423
1 265315100
1 2706551
1 1070505726
1 40075
1 149991555
1 742420215
1 400047
1 2296836
0.988373 191133
0.988235 40934
1 702245
1 167306
1 23006934
1 96720
1 1195744378
1 110430
1 1166992
1 46892257
1 7407321
1 255513
1 3951532
1 23535
0.988235 27277
1 791059582
1 518678505
1 11741
0.988373 1114393
1 186471
1 881616
0.976746 163115
1 28979
1 43244
1 1716380493
1 52520
0.988373 294309982
1 119008
0.988235 40063
0.988235 8501
1 898359
0.988235 29729
1 241016
1 91307678
1 3268011
1 61027008
1 24366
1 61543
1 1335063
0.98851 306483
1 35750
1 47718
1 838122043
1 14516687
0.988235 7858
1 52257
0.988235 387887
1 10061
1 2300767
0.988235 153055
1 36292909
0.988373 257323
1 964107
1 4777777
1 7959
1 44398
1 145177
0.988098 3155889
0.988098 382631
1 418538
1 83126
0.988098 150011
1 250757
0.976471 242584
0.988235 217205
