# 11923 -314387191 23196 37
1 13619759
0.985809 6758
1 21363
1 208972873
1 399897984
0.971222 10244
0.985611 35775
1 4999
1 16841
1 345365871
1 8190216
0.985397 48595
1 11384
0.985611 23049
1 70543126
1 17284
1 6379
1 13396
1 22629
1 33827714
0.985611 11828
1 233628
0.985397 2594
1 32131957
1 4928
1 405070
1 9927
0.985611 8080
0.985809 2481
1 32903
1 17349
1 22010
1 13094
1 2467
1 23419
1 36192
1 8782304
1 5041
0.986008 4952
1 293535
0.985397 16955
1 18917
1 37955
1 3695
1 9884
1 24353
1 8867273
1 8584
1 3510
1 43292
1 8467
1 394027766
1 28159
1 19854
1 3441
1 356445
1 213703289
1 3722
1 32077877
1 5117
1 76175
1 717050679
1 11398
1 241390431
1 17052
1 12320
0.985809 2945
0.985397 13337
1 137869
1 58962
1 3125422
0.985611 4278
1 654751483
0.985611 93618910
1 5918
1 8187
0.985397 11903
1 19098
1 13806
1 8896
1 99002
1 9886
1 3899
1 109335
1 7249
0.985611 5397
1 102311
1 11085
1 23521
0.985611 63048
1 4994
1 40902
1 628427
1 99852
1 41732
1 12006
1 2680
1 14147
1 4129
1 18651995
1 2477
1 1934
1 284719738
1 201723293
1 58394
0.985397 1463
1 9860
1 34640
0.985809 13552
1 9686
1 6552
1 8750
1 9746
1 76027
1 19440
0.985397 14106
1 39827
1 7457
0.985397 273801
0.985611 1368
1 140118
1 9362
1 10395
1 38393
1 2038750
0.985611 3392
1 86880036
0.971222 14879
0.985397 3929
1 39268
0.985611 5265
1 6627
1 30863
0.985397 1842
1 1562
1 246014996
1 24755
1 102688
1 11642
0.985397 12882524
1 8142
1 5909
1 16366
1 23531
1 12180
1 566975
1 7889
1 56357
1 4561
1 22125
1 13378239
0.985611 20112
1 1214415544
1 4793
1 15966
1 6767
1 13212
1 8511
1 10738
1 42562
1 98015
1 2583
1 2462
1 5077
1 11840
1 2459661
1 19577
1 4187
0.985611 115517
1 102414949
1 1837
1 2202
1 96840787
1 21801
1 1812
1 10735
1 18709
1 62776
0.985397 4589
1 501076084
0.985611 21236
1 1849
1 3823
1 12607
0.985611 20699
1 3254
1 22347
1 5764
1 185511
0.985184 26989
1 7103616
1 3607
1 44218
1 11401
1 42521
1 13616
1 35598
0.985397 2984
0.985397 8759
1 6824
