# -679319667 1010520282 -489387993 25
0.9953 22759
1 174029
1 74653
0.990616 98723
0.9953 142687
1 134160
0.9953 486
1 3737
1 334
1 51772
0.9953 16075500
1 8748
0.990616 16605
0.990616 39253
0.9953 92375243
0.9953 196302402
1 338525
0.9953 34010
0.9953 34900
0.9953 14837
1 6591
0.9953 37744
1 21231
0.9953 3356
1 15564
1 978775987
0.9953 2666
1 12250804
0.990616 54869
1 600085
1 113710
1 5231
0.9953 453486
1 3775
1 578
1 73093
0.990616 5216
0.9953 52325
1 481
0.990616 1553
0.9953 519
0.9953 243901326
1 370859
1 36432758
1 557672691
0.9953 152519
1 431
1 84930
0.9953 395349
0.9953 1428479
