# 12733 -133607363 2537871 32
0.994797 268
1 347
1 1317
0.989578 67101
1 1383743
0.989578 11518
1 20567
1 56815
0.994797 43082
1 5645516
0.994797 6722
0.994797 26821590
0.994797 101524
1 1817397750
1 1076110
1 13720
1 8197
1 538
1 20844
0.994797 1503296
1 3379
1 1868864605
1 101956504
1 10335
1 5338547
1 44855629
1 76575167
1 86623554
1 17492
0.994797 137408
1 114194
1 31922
0.994797 422616
0.989578 314
0.989578 12299
1 394068
1 67121
1 8788
1 8866251
1 118228
0.994797 10055
1 3904
1 263799
1 1701
0.994797 50536
0.994797 24563
1 183988
0.994797 2303
1 1274670
1 2605563
0.989578 9856
1 237
1 9081
1 4463
1 1631
1 18439
1 7104656
1 9456458
1 7187
1 10455274
1 274863
1 2307499
1 12761
0.994797 2744271
1 32278
1 2495646
1 1324626
1 51717
1 12706
1 3693364
1 582
0.994797 579
1 186345
0.994797 2934976
1 4532
0.994797 57336
0.994797 290512176
1 69356
0.994797 68954
0.989578 644401206
1 621
0.994797 4866
0.994797 1548
1 29497980
0.994797 2837
1 165101561
1 66968
0.989578 12213894
1 243728
1 549980
1 17778
0.994797 2469
1 201347720
0.994797 2854
1 12032578
0.994797 6201
1 159330
1 25117
1 510454
0.994797 15851
